id,continent,lat,lon,arabiensis,funestus,gambiae,darlingi,minimus,maculatus
1,Africa,-29.14583333,23.8125,0,0,0,0,0,0
2,Africa,10.1875,-3.8125,0.449035078,0.550964892,0,0,0,0
3,Africa,0.645833334,23.52083333,0,0.009674532,0.990325451,0,0,0
4,Africa,8.0625,5.645833334,0.074081801,0.275989503,0.649928689,0,0,0
5,Africa,2.9375,46.22916667,1,0,0,0,0,0
6,Africa,14.14583333,5.979166667,0.83737576,0.162624255,0,0,0,0
7,Africa,-19.39583333,27.10416667,0.708005011,0.291994989,0,0,0,0
8,Africa,-6.3125,14.64583333,0,0.018822821,0.981177151,0,0,0
9,Africa,5.354166667,39.0625,0.644171655,0.355828375,0,0,0,0
10,Africa,-15.27083333,38.27083333,0.215847626,0.39057371,0.393578649,0,0,0
11,Asia,17.4116,98.0511,0,0,0,0,0.6,0.4
12,Americas,-0.7292,-75.6459,0,0,0,1,0,0